title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Jackie Brown,movie,"Crime, Drama, Thriller",1997.0,7.5,384267.0,"AE, BH, DK, EG, FI, IQ, IS, IT, JO, KW, LB, LY, MC, MT, NO, OM, QA, SA, SE, SM, TR, YE"
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014.0,6.5,173130.0,"AU, FJ, NZ, SG"
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986.0,7.7,120530.0,ES
Amélie,movie,"Comedy, Romance",2001.0,8.3,809433.0,"JP, KR, TH"
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953.0,8.1,68960.0,"AD, FR, GF, MC, PF"
Saw III,movie,"Horror, Mystery, Thriller",2006.0,6.2,218390.0,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, RO, RS, SE, SI, SK, UA"
Saw II,movie,"Horror, Mystery",2005.0,6.6,284140.0,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, UA"
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,6.2,498464.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Volver,movie,"Comedy, Drama",2006.0,7.6,109085.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005.0,6.9,135739.0,BE
Stand by Me,movie,"Adventure, Comedy, Drama",1986.0,8.1,455430.0,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, JM, LC, MD, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UA, US, UY, VE"
The Godfather,movie,"Crime, Drama",1972.0,9.2,2079877.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
The Godfather Part II,movie,"Crime, Drama",1974.0,9.0,1403609.0,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TD, TZ, UG, ZA, ZM, ZW"
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999.0,7.3,23443.0,"DK, FI, NO, SE"
Live Flesh,movie,Drama,1997.0,7.3,34404.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Batman Begins,movie,"Action, Drama",2005.0,8.2,1619919.0,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, FJ, HK, HR, HU, ID, IT, JP, KR, LI, LU, MD, ME, MK, MY, NO, NZ, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, SM, TH, TW"
The Shawshank Redemption,movie,Drama,1994.0,9.3,2981119.0,"AD, BA, BE, BG, CA, CV, CZ, ES, HR, HU, JP, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK"
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,8.6,1210721.0,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
A River Runs Through It,movie,Drama,1992.0,7.2,67006.0,KR
Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003.0,6.3,424912.0,EE
Ocean's Thirteen,movie,"Crime, Thriller",2007.0,6.9,373775.0,BE
Swimming Pool,movie,"Crime, Drama, Mystery",2003.0,6.7,49304.0,"BG, EE, GR, IS, KR, LI, LT, LV, NL, PT, RO"
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994.0,5.5,96418.0,"ES, KR, NZ"
Bruce Almighty,movie,"Comedy, Fantasy",2003.0,6.8,445272.0,CA
Mystic River,movie,"Crime, Drama, Mystery",2003.0,7.9,496929.0,"AD, BE, CH, ES, FR, GF, IT, LU, MC, PF, PT, SM"
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,8.2,1098438.0,CA
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997.0,6.6,453108.0,CA
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001.0,5.9,347772.0,CA
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999.0,7.5,389630.0,"AD, ES, GB, GG, IE, PT"
Das Boot,movie,"Drama, War",1981.0,8.4,273208.0,"BE, DK, FI, LU, MT, NL, NO, SE"
A Fistful of Dollars,movie,"Drama, Western",1964.0,7.9,239588.0,"AT, CH, DE, IT, LI, LU, SM"
Chocolat,movie,"Drama, Romance",2000.0,7.2,205054.0,"BE, CA, NL"
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004.0,8.0,825774.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Basic Instinct,movie,"Drama, Mystery, Thriller",1992.0,7.1,226045.0,"AD, AE, AO, BH, CH, CV, CY, DK, DZ, EG, ES, FI, GH, GQ, GR, HK, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LY, MA, MC, MZ, NG, NO, OM, PL, PS, PT, QA, SA, SC, SE, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Driving Miss Daisy,movie,"Comedy, Drama",1989.0,7.3,119621.0,KR
Summer in Berlin,movie,Drama,2005.0,6.9,3013.0,"AT, CH, DE"
The Pianist,movie,"Biography, Drama, Music",2002.0,8.5,946216.0,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,6.5,490284.0,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Sissi,movie,"Comedy, Drama, History",1955.0,7.0,10334.0,"AT, CH, DE"
Sissi: The Young Empress,movie,"Drama, History",1956.0,6.6,7562.0,"AT, CH, DE"
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957.0,6.6,6188.0,"AT, CH, DE"
Erin Brockovich,movie,"Biography, Drama",2000.0,7.4,228518.0,"AD, AL, BA, BG, CZ, DZ, FR, GF, HR, HU, IS, MA, MC, ME, MK, MU, PF, PL, RO, RS, SI, SK, TN"
As It Is in Heaven,movie,"Comedy, Drama, Music",2004.0,7.5,18518.0,"DK, FI, NO, SE"
My Own Private Idaho,movie,Drama,1991.0,7.0,63619.0,JP
The African Queen,movie,"Adventure, Drama, Romance",1951.0,7.7,85911.0,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
The Seventh Seal,movie,"Drama, Fantasy",1957.0,8.1,204437.0,"DK, FI, NO, SE"
The Green Mile,movie,"Crime, Drama, Fantasy",1999.0,8.6,1454721.0,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, PT, QA, RO, RS, SA, SG, SI, SK, SM, TD, TH, TN, TW, UA, YE"
Reservoir Dogs,movie,"Crime, Thriller",1992.0,8.3,1116238.0,"GB, GG, GI, IE, MT"
Poseidon,movie,"Action, Adventure, Thriller",2006.0,5.7,112079.0,JP
Monster,movie,"Biography, Crime, Drama",2003.0,7.3,165675.0,KR
Marnie,movie,"Crime, Drama, Mystery",1964.0,7.1,55421.0,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GG, GT, HN, IE, JM, LC, MX, PA, PE, PY, SV, TC, US, UY"
Love Actually,movie,"Comedy, Drama, Romance",2003.0,7.6,548158.0,"AD, AE, AL, AU, AZ, BA, BE, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NL, NO, NZ, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
Notting Hill,movie,"Comedy, Drama, Romance",1999.0,7.2,355802.0,"AD, AU, BE, ES, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, LU, MC, MY, NL, NZ, PF, PH, PK, SG, TH, TW"
One Flew Over the Cuckoo's Nest,movie,Drama,1975.0,8.7,1099764.0,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Casino,movie,"Crime, Drama",1995.0,8.2,580815.0,"AU, IL, JP, KR, NZ"
Once Were Warriors,movie,"Crime, Drama",1994.0,7.9,37722.0,"AU, FJ, NZ"
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"Adventure, Animation, Comedy",2005.0,7.5,149736.0,US
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009.0,6.5,382918.0,"BE, DZ, IN, PK"
